date,passenger_count,weekday_num,weekday,is_weekend,holiday_name,is_holiday,day_type,day_type_order
2025-09-22,10085263.0,0,월,False,,False,Ordinary weekday,0
2025-09-23,10395430.0,1,화,False,,False,Ordinary weekday,0
2025-09-24,10130159.0,2,수,False,,False,Ordinary weekday,0
2025-09-25,10638389.0,3,목,False,,False,Ordinary weekday,0
2025-09-26,11022344.0,4,금,False,,False,Ordinary weekday,0
2025-09-27,8719811.0,5,토,True,,False,Ordinary weekend,1
2025-09-28,5336748.0,6,일,True,,False,Ordinary weekend,1
2025-09-29,10166966.0,0,월,False,,False,Ordinary weekday,0
2025-09-30,10374857.0,1,화,False,,False,Ordinary weekday,0
2025-10-01,10354149.0,2,수,False,,False,Ordinary weekday,0
2025-10-02,10517925.0,3,목,False,,False,Ordinary weekday,0
2025-10-03,6180335.0,4,금,False,개천절,True,Public holiday,2
2025-10-04,5757722.0,5,토,True,,False,Ordinary weekend,1
2025-10-05,4050176.0,6,일,True,추석 전날,True,Public holiday,2
2025-10-06,3129746.0,0,월,False,추석,True,Public holiday,2
2025-10-07,4150106.0,1,화,False,추석 다음날,True,Public holiday,2
2025-10-08,5691606.0,2,수,False,추석 대체 휴일,True,Public holiday,2
2025-10-09,5460124.0,3,목,False,한글날,True,Public holiday,2
2025-10-10,8520061.0,4,금,False,,False,Ordinary weekday,0
2025-10-11,6523259.0,5,토,True,,False,Ordinary weekend,1
2025-10-12,5164823.0,6,일,True,,False,Ordinary weekend,1
2025-10-13,9642410.0,0,월,False,,False,Ordinary weekday,0
2025-10-14,10144812.0,1,화,False,,False,Ordinary weekday,0
2025-10-15,10316683.0,2,수,False,,False,Ordinary weekday,0
2025-10-16,10400406.0,3,목,False,,False,Ordinary weekday,0
2025-10-17,10790257.0,4,금,False,,False,Ordinary weekday,0
2025-10-18,7917964.0,5,토,True,,False,Ordinary weekend,1
2025-10-19,6038555.0,6,일,True,,False,Ordinary weekend,1
2025-10-20,10100794.0,0,월,False,,False,Ordinary weekday,0
2025-10-21,10401387.0,1,화,False,,False,Ordinary weekday,0
2025-10-22,10477379.0,2,수,False,,False,Ordinary weekday,0
2025-10-23,10524510.0,3,목,False,,False,Ordinary weekday,0
2025-10-24,11001909.0,4,금,False,,False,Ordinary weekday,0
2025-10-25,8433052.0,5,토,True,,False,Ordinary weekend,1
2025-10-26,6040353.0,6,일,True,,False,Ordinary weekend,1
2025-10-27,10266211.0,0,월,False,,False,Ordinary weekday,0
2025-10-28,10428109.0,1,화,False,,False,Ordinary weekday,0
2025-10-29,10601951.0,2,수,False,,False,Ordinary weekday,0
2025-10-30,10593204.0,3,목,False,,False,Ordinary weekday,0
2025-10-31,10994317.0,4,금,False,,False,Ordinary weekday,0
2025-11-01,8342979.0,5,토,True,,False,Ordinary weekend,1
2025-11-02,6239684.0,6,일,True,,False,Ordinary weekend,1
2025-11-03,10033907.0,0,월,False,,False,Ordinary weekday,0
2025-11-04,10334301.0,1,화,False,,False,Ordinary weekday,0
2025-11-05,10444649.0,2,수,False,,False,Ordinary weekday,0
2025-11-06,10470019.0,3,목,False,,False,Ordinary weekday,0
2025-11-07,10791762.0,4,금,False,,False,Ordinary weekday,0
2025-11-08,8215818.0,5,토,True,,False,Ordinary weekend,1
2025-11-09,6036308.0,6,일,True,,False,Ordinary weekend,1
2025-11-10,10073085.0,0,월,False,,False,Ordinary weekday,0
2025-11-11,10409426.0,1,화,False,,False,Ordinary weekday,0
2025-11-12,10521994.0,2,수,False,,False,Ordinary weekday,0
2025-11-13,10427063.0,3,목,False,,False,Ordinary weekday,0
2025-11-14,10789297.0,4,금,False,,False,Ordinary weekday,0
2025-11-15,8314931.0,5,토,True,,False,Ordinary weekend,1
2025-11-16,6153026.0,6,일,True,,False,Ordinary weekend,1
2025-11-17,10034947.0,0,월,False,,False,Ordinary weekday,0
2025-11-18,10254386.0,1,화,False,,False,Ordinary weekday,0
2025-11-19,10387676.0,2,수,False,,False,Ordinary weekday,0
2025-11-20,10538519.0,3,목,False,,False,Ordinary weekday,0
2025-11-21,10796319.0,4,금,False,,False,Ordinary weekday,0
2025-11-22,8166838.0,5,토,True,,False,Ordinary weekend,1
2025-11-23,5920105.0,6,일,True,,False,Ordinary weekend,1
2025-11-24,10059315.0,0,월,False,,False,Ordinary weekday,0
2025-11-25,10227444.0,1,화,False,,False,Ordinary weekday,0
2025-11-26,10581543.0,2,수,False,,False,Ordinary weekday,0
2025-11-27,10278925.0,3,목,False,,False,Ordinary weekday,0
2025-11-28,10894206.0,4,금,False,,False,Ordinary weekday,0
2025-11-29,7929189.0,5,토,True,,False,Ordinary weekend,1
2025-11-30,5802231.0,6,일,True,,False,Ordinary weekend,1
2025-12-01,10018763.0,0,월,False,,False,Ordinary weekday,0
2025-12-02,10228600.0,1,화,False,,False,Ordinary weekday,0
2025-12-03,10124664.0,2,수,False,,False,Ordinary weekday,0
2025-12-04,10732706.0,3,목,False,,False,Ordinary weekday,0
2025-12-05,11088583.0,4,금,False,,False,Ordinary weekday,0
2025-12-06,7996827.0,5,토,True,,False,Ordinary weekend,1
2025-12-07,5778474.0,6,일,True,,False,Ordinary weekend,1
2025-12-08,10064111.0,0,월,False,,False,Ordinary weekday,0
2025-12-09,10397028.0,1,화,False,,False,Ordinary weekday,0
